epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3013,1.95166,3.62585,4.18448,0,0,0,0,1.24415,3.98994,4.14333,0.00030006,0.00030006,0.00030006
2,63.0992,1.91832,2.16411,3.71612,0,0,0,0,1.24566,3.9629,4.11911,0.000555728,0.000555728,0.000555728
3,93.8249,1.63924,1.42806,3.06209,0.11198,1,0.94318,0.75107,1.06839,21.4868,2.56661,0.000748683,0.000748683,0.000748683
4,123.781,1.58579,1.19597,2.829,0.1294,1,0.83148,0.24072,1.15902,44.8712,3.4941,0.000878926,0.000878926,0.000878926
5,153.211,1.38452,1.00801,2.51495,0.56729,0.5,0.59398,0.16782,1.11911,23.1239,4.04735,0.000946456,0.000946456,0.000946456
6,183.094,1.47222,1.02821,2.5208,0.1642,0.825,0.2247,0.1098,1.17669,35.6292,3.3882,0.000841835,0.000841835,0.000841835
7,211.595,1.29306,0.87646,2.26518,0.02527,0.97,0.02543,0.01707,1.11932,2298.45,17.1976,0.000676802,0.000676802,0.000676802
8,241.632,1.30286,0.82516,2.35289,0.18596,0.88,0.19228,0.09383,1.0408,36.2347,3.24697,0.000511769,0.000511769,0.000511769
9,271.345,1.29697,0.76585,2.29467,0.48115,0.85,0.62048,0.35274,1.0318,2.15926,2.25138,0.000346736,0.000346736,0.000346736
10,301.4,1.08635,0.73339,2.10891,0.20239,0.945,0.24438,0.1462,1.12057,18.2769,2.26109,0.000181703,0.000181703,0.000181703
